001, Acc: 99.94%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [45900/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [46200/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [46500/357188] Loss: 0.000095, Acc: 99.92%
2025-07-08 12:16:15 INFO     Train Epoch: 2 [46800/357188] Loss: 0.000932, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [47100/357188] Loss: 0.001925, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [47400/357188] Loss: 0.014590, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [47700/357188] Loss: 0.001295, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [48000/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [48300/357188] Loss: 0.000004, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [48600/357188] Loss: 0.000014, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [48900/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [49200/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [49500/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:16 INFO     Train Epoch: 2 [49800/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [50100/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [50400/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [50700/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [51000/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [51300/357188] Loss: 0.000002, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [51600/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [51900/357188] Loss: 0.000013, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [52200/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [52500/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:17 INFO     Train Epoch: 2 [52800/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [53100/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [53400/357188] Loss: 0.000000, Acc: 99.93%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [53700/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [54000/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [54300/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [54600/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [54900/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [55200/357188] Loss: 0.000021, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [55500/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [55800/357188] Loss: 0.000016, Acc: 99.94%
2025-07-08 12:16:18 INFO     Train Epoch: 2 [56100/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [56400/357188] Loss: 0.011950, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [56700/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [57000/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [57300/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [57600/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [57900/357188] Loss: 0.043320, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [58200/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [58500/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [58800/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:19 INFO     Train Epoch: 2 [59100/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [59400/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [59700/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [60000/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [60300/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [60600/357188] Loss: 0.000031, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [60900/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [61200/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [61500/357188] Loss: 0.000264, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [61800/357188] Loss: 0.000032, Acc: 99.94%
2025-07-08 12:16:20 INFO     Train Epoch: 2 [62100/357188] Loss: 0.000034, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [62400/357188] Loss: 0.000058, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [62700/357188] Loss: 0.000012, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [63000/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [63300/357188] Loss: 0.000007, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [63600/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [63900/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [64200/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [64500/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [64800/357188] Loss: 0.000002, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [65100/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:21 INFO     Train Epoch: 2 [65400/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [65700/357188] Loss: 0.000006, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [66000/357188] Loss: 0.000256, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [66300/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [66600/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [66900/357188] Loss: 0.000033, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [67200/357188] Loss: 0.000542, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [67500/357188] Loss: 0.001903, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [67800/357188] Loss: 0.227127, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [68100/357188] Loss: 0.002729, Acc: 99.94%
2025-07-08 12:16:22 INFO     Train Epoch: 2 [68400/357188] Loss: 0.000601, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [68700/357188] Loss: 0.000037, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [69000/357188] Loss: 0.000115, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [69300/357188] Loss: 0.000021, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [69600/357188] Loss: 0.000015, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [69900/357188] Loss: 0.000029, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [70200/357188] Loss: 0.000005, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [70500/357188] Loss: 0.000013, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [70800/357188] Loss: 0.000023, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [71100/357188] Loss: 0.000008, Acc: 99.94%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [71400/357188] Loss: 0.002868, Acc: 99.93%
2025-07-08 12:16:23 INFO     Train Epoch: 2 [71700/357188] Loss: 0.001635, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [72000/357188] Loss: 0.000065, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [72300/357188] Loss: 0.000353, Acc: 99.94%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [72600/357188] Loss: 0.000035, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [72900/357188] Loss: 0.000017, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [73200/357188] Loss: 0.000008, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [73500/357188] Loss: 0.000045, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [73800/357188] Loss: 0.000006, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [74100/357188] Loss: 0.000012, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [74400/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:24 INFO     Train Epoch: 2 [74700/357188] Loss: 0.000036, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [75000/357188] Loss: 0.000004, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [75300/357188] Loss: 0.000004, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [75600/357188] Loss: 0.000005, Acc: 99.94%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [75900/357188] Loss: 0.000001, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [76200/357188] Loss: 0.000003, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [76500/357188] Loss: 0.000013, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [76800/357188] Loss: 0.000017, Acc: 99.93%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [77100/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [77400/357188] Loss: 0.000009, Acc: 99.94%
2025-07-08 12:16:25 INFO     Train Epoch: 2 [77700/357188] Loss: 0.000017, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [78000/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [78300/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [78600/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [78900/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [79200/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [79500/357188] Loss: 0.000002, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [79800/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [80100/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [80400/357188] Loss: 0.000123, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [80700/357188] Loss: 0.000008, Acc: 99.94%
2025-07-08 12:16:26 INFO     Train Epoch: 2 [81000/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [81300/357188] Loss: 0.000011, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [81600/357188] Loss: 0.000004, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [81900/357188] Loss: 0.000005, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [82200/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [82500/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [82800/357188] Loss: 0.000001, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [83100/357188] Loss: 0.000000, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [83400/357188] Loss: 0.000003, Acc: 99.94%
2025-07-08 12:16:27 INFO     Train Epoch: 2 [83700/357188] Loss: 0.000004, Acc: 99.94%
